NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Ideal Corner,450,Parsi,Mumbai,Fort,https://www.zomato.com/mumbai/ideal-corner-fort/info,230,Casual Dining,"Closed(Mon),12noon to 10pm(Tue-Sun)",Very Good,4.0,426
Cafe Creme,200,"Cafe,Desserts,Beverages",Mumbai,Kharghar,https://www.zomato.com/mumbai/cafe-creme-3-kharghar-navi-mumbai/info,235,Café,9am to 11pm(Mon-Sun),Good,3.7,46
Café 792,400,"Parsi,Fast Food",Mumbai,Dadar East,https://www.zomato.com/mumbai/café-792-dadar-east/info,235,Quick Bites,"10am to 730pm(Mon-Sat),Closed(Sun)",Good,3.9,274
The Chimney Factory,400,"Desserts,Beverages",Mumbai,Dadar Shivaji Park,https://www.zomato.com/mumbai/the-chimney-factory-dadar-shivaji-park/info,24,Dessert Parlor,930am to 1am(Mon-Sun),Very Good,4.4,97
Love & Latte,700,"Cafe,Desserts",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/love-latte-versova/info,24,Café,9am to 1am(Mon-Sun),Very Good,4.2,76
Cafe Creme,300,"Fast Food,Beverages",Mumbai,Kalyan,https://www.zomato.com/mumbai/cafe-creme-1-kalyan-thane/info,242,Quick Bites,130pm to 11pm(Mon-Sun),Average,3.4,13
Cafe Condi,800,"Continental,French,Desserts",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/cafe-condi-1-hill-road-bandra-west/info,260,Casual Dining,"11am to 11pm(Mon-Fri),8am to 11pm(Sat-Sun)",Good,3.9,86
Tasty Bites,200,Rolls,Mumbai,Santacruz West,https://www.zomato.com/mumbai/tasty-bites-1-santacruz-west/info,264,Quick Bites,"930am to 930pm(Mon-Sat),330pm to 10pm(Sun)",Good,3.6,38
Cafe Royal,1600,"Italian,North Indian,Continental,Mexican",Mumbai,Colaba,https://www.zomato.com/mumbai/cafe-royal-colaba/info,27,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.2,1035
Cafe Gulshan,400,"Chinese,North Indian,Mughlai,Biryani,Seafood",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-gulshan-jogeshwari/info,270,Casual Dining,730am to 12midnight(Mon-Sun),Good,3.6,100
Cafe Gulshan,700,"North Indian,Mughlai,Chinese,Fast Food",Mumbai,Matunga East,https://www.zomato.com/mumbai/cafe-gulshan-matunga-east/info,280,Casual Dining,930am to 11pm(Mon-Sun),Good,3.8,525
Tasty Bites,500,"Chinese,North Indian",Mumbai,Dahisar East,https://www.zomato.com/mumbai/tasty-bites-dahisar-east/info,281,Quick Bites,6pm to 12midnight(Mon-Sun),Good,3.5,44
Cafe Udipi,500,"North Indian,Chinese,Fast Food,South Indian,Beverages",Mumbai,Chembur,https://www.zomato.com/mumbai/cafe-udipi-chembur/info,305,Quick Bites,"7am to 11pm(Mon,Tue,Thu,Fri,Sat,Sun),Closed...",Good,3.7,185
Prithvi Cafe,700,"Cafe,Fast Food",Mumbai,Juhu,https://www.zomato.com/mumbai/prithvi-cafe-juhu/info,31,Café,1030am to 1030pm(Mon-Sun),Very Good,4.4,8000
Cafe Creme,500,"Cafe,Desserts,Fast Food",Mumbai,Nerul,https://www.zomato.com/mumbai/cafe-creme-3-nerul-navi-mumbai/info,316,Café,11am to 12midnight(Mon-Sun),Good,3.5,17
Qutuz Irani Cafe,400,"Fast Food,Chinese",Mumbai,Kandivali West,https://www.zomato.com/mumbai/qutuz-irani-cafe-kandivali-west/info,319,Quick Bites,7am to 4am(Mon-Sun),Average,3.0,6
Tea Post,200,"Fast Food,Tea,Beverages",Mumbai,Kandivali East,https://www.zomato.com/mumbai/tea-post-kandivali-east/info,330,Café,11am to 11pm(Mon-Sun),Average,3.1,5
Wagh Bakri Tea Lounge,600,"Cafe,Tea,Desserts",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/wagh-bakri-tea-lounge-vile-parle-east/info,335,Café,8am to 11pm(Mon-Sun),Good,3.7,284
The Tetrad Cafe,500,"Fast Food,Beverages",Mumbai,Goregaon West,https://www.zomato.com/mumbai/the-tetrad-cafe-4-goregaon-west/info,352,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,83
Cafe Alif,550,"Chinese,North Indian,Mughlai,Seafood,Biryani",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-alif-jogeshwari/info,36,Casual Dining,11am to 1215AM(Mon-Sun),Very Good,4.0,334
Cafe Garden,350,"Street Food,North Indian",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/cafe-garden-near-andheri-east-station/info,364,Quick Bites,6am to 12midnight(Mon-Sun),Good,3.5,21
Yewale Amruttulya,100,Beverages,Mumbai,CBD-Belapur,https://www.zomato.com/mumbai/yewale-amruttulya-cbd-belapur-navi-mumbai/info,365,Beverage Shop,430am to 11pm(Mon-Sun),,NEW,NEW
Tea Post,200,"Fast Food,Tea,Beverages",Mumbai,Malad West,https://www.zomato.com/mumbai/tea-post-1-malad-west/info,369,Café,11am to 11pm(Mon-Sun),Average,3.3,66
99 Pancakes,300,"Desserts,Beverages,Cafe,Ice Cream",Mumbai,Vashi,https://www.zomato.com/mumbai/99-pancakes-vashi-navi-mumbai/info,41,Dessert Parlor,"11am to 12midnight(Mon-Thu),12midnight to ...",Good,3.9,200
Cafe Milan,800,"North Indian,Mughlai,Chinese",Mumbai,Malad West,https://www.zomato.com/mumbai/cafe-milan-malad-west/info,413,Casual Dining,9am to 1230AM(Mon-Sun),Not rated,-,-
Cafe Milan,250,"North Indian,Chinese",Mumbai,Bandra Talao-- Bandra West,https://www.zomato.com/mumbai/cafe-milan-bandra-talao-bandra-west/info,417,Casual Dining,6am to 1am(Mon-Sun),Average,3.0,22
Grandmama's Cafe,1500,"Cafe,American,Desserts",Mumbai,Juhu,https://www.zomato.com/mumbai/grandmamas-cafe-juhu/info,42,Café,9am to 12midnight(Mon-Sun),Very Good,4.1,3338
Tea Post,200,"Fast Food,Beverages",Mumbai,Seawoods Grand Central Mall-- Seawoods,https://www.zomato.com/mumbai/tea-post-seawoods-navi-mumbai/info,425,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Tea Post,200,"Tea,Fast Food,Beverages",Mumbai,Malad West,https://www.zomato.com/mumbai/tea-post-2-malad-west/info,453,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,35
Pizza By The Bay,2000,"Italian,Pizza,Salad",Mumbai,Churchgate,https://www.zomato.com/mumbai/pizza-by-the-bay-churchgate/info,46,Casual Dining,7am to 1130pm(Mon-Sun),Very Good,4.1,5882
Tasty Bites,400,Fast Food,Mumbai,Mohammad Ali Road,https://www.zomato.com/mumbai/tasty-bites-mohammad-ali-road/info,467,none,4pm to 1am(Mon-Sun),Average,3.1,4
Cafe Royal,650,"Chinese,Mughlai",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-royal-1-jogeshwari/info,490,Quick Bites,11am to 9pm(Mon-Sun),Average,3.3,97
Tea Post,200,"Fast Food,Tea,Beverages",Mumbai,Marol,https://www.zomato.com/mumbai/tea-post-marol/info,493,Café,"Closed(Mon),10am to 10pm(Tue-Sun)",Average,3.2,4
Aromas Cafe,1000,"Cafe,American,Mexican,Italian",Mumbai,Powai,https://www.zomato.com/mumbai/aromas-cafe-powai/info,5,Café,730am to 1am(Mon-Sun),Very Good,4.2,3005
The Wafflemeister,600,Desserts,Mumbai,Mira Road,https://www.zomato.com/mumbai/the-wafflemeister-1-mira-road/info,517,Dessert Parlor,1pm to 12midnight(Mon-Sun),Very Good,4.0,74
Frespresso,350,Fast Food,Mumbai,Ambernath,https://www.zomato.com/mumbai/frespresso-ambernath-thane/info,518,Quick Bites,9am to 12midnight(Mon-Sun),Average,3.4,14
Cafe Noorani,300,"North Indian,Fast Food",Mumbai,Mahim,https://www.zomato.com/mumbai/cafe-noorani-mahim/info,524,Quick Bites,8am to 12midnight(Mon-Sun),Good,3.5,55
Cafe Churchill,400,"Mughlai,Fast Food,Chinese,North Indian",Mumbai,Juhu,https://www.zomato.com/mumbai/cafe-churchill-juhu/info,528,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.5,58
Coffee House,300,"Gujarati,Fast Food,Beverages",Mumbai,Fort,https://www.zomato.com/mumbai/coffee-house-fort/info,538,Quick Bites,"9am to 10pm(Mon-Sat),9am to 3pm(Sun)",Average,3.3,15
Coffee House,350,Cafe,Mumbai,Fort,https://www.zomato.com/mumbai/coffee-house-3-fort/info,553,Café,"8am to 830pm(Mon,Wed,Thu,Fri,Sat),8am to ...",Good,3.8,95
Coffee House,350,Cafe,Mumbai,Fort,https://www.zomato.com/mumbai/coffee-house-3-fort/info,554,Café,"8am to 830pm(Mon,Wed,Thu,Fri,Sat),8am to ...",Good,3.8,95
Cafe Gulshan,300,"North Indian,Mughlai,Chinese",Mumbai,Sakinaka,https://www.zomato.com/mumbai/cafe-gulshan-sakinaka/info,593,Casual Dining,8am to 12midnight(Mon-Sun),Average,2.9,13
The Rolling Pin,1000,"Cafe,Desserts,Bakery",Mumbai,Lower Parel,https://www.zomato.com/mumbai/the-rolling-pin-lower-parel/info,6,Café,"11am to 12midnight(Mon,Tue,Wed,Thu,Sat,Sun)...",Very Good,4.2,3265
Candies,700,"Cafe,Italian,North Indian,Desserts",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/candies-pali-hill-bandra-west/info,60,Café,"Closed(Mon),830am to 10pm(Tue-Sun)",Very Good,4.2,10217
Haazri,150,"Tea,Fast Food",Mumbai,Lower Parel,https://www.zomato.com/mumbai/haazri-lower-parel/info,610,Quick Bites,"9am to 7pm(Mon-Fri),9am to 4pm(Sat),Closed(Sun)",Average,3.0,16
Theobroma,500,"Bakery,Desserts",Mumbai,Powai,https://www.zomato.com/mumbai/theobroma-powai/info,62,Bakery,8am to 12midnight(Mon-Sun),Very Good,4.4,3263
Cafe Coffee Day,700,"Cafe,Fast Food",Mumbai,Juhu,https://www.zomato.com/mumbai/cafe-coffee-day-juhu/info,63,Café,10am to 1am(Mon-Sun),Good,3.6,26
Copper Chimney,1500,"North Indian,Mughlai",Mumbai,Viviana Mall-- Majiwada-- Thane West,https://www.zomato.com/copper-majiwada/info,64,Casual Dining,"12noon to 3pm,7pm to 1230AM(Mon-Sun)",Good,3.8,953
Cafe Kausar,350,"Chinese,North Indian",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-kausar-jogeshwari/info,648,Quick Bites,7am to 11pm(Mon-Sun),Average,3.2,6
A Food Affair,450,"Fast Food,Pizza",Mumbai,Goregaon West,https://www.zomato.com/mumbai/a-food-affair-goregaon-west/info,652,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,69
The Sassy Spoon,1800,"European,Mediterranean,Asian,Modern Indian,Finger Food,Salad,Desserts",Mumbai,Nariman Point,https://www.zomato.com/mumbai/the-sassy-spoon-nariman-point/info,66,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.3,2800
Tea Post,100,Tea,Mumbai,Borivali West,https://www.zomato.com/mumbai/tea-post-1-borivali-west/info,66,Quick Bites,8am to 1230AM(Mon-Sun),Average,3.2,5
Coffee King,250,"Cafe,Desserts",Mumbai,Malad West,https://www.zomato.com/mumbai/coffee-king-malad-west/info,68,Café,530am to 130am(Mon-Sun),Good,3.7,237
Salt Water Cafe,1500,"European,Italian,Salad",Mumbai,Bandstand-- Bandra West,https://www.zomato.com/SaltWaterCafeBandra/info,7,Casual Dining,9am to 1am(Mon-Sun),Very Good,4.1,2891
The Nutcracker,1200,"Cafe,American,European",Mumbai,Bandstand-- Bandra West,https://www.zomato.com/mumbai/the-nutcracker-bandstand-bandra-west/info,70,Café,"12noon to 12midnight(Mon),8am to 12midnight...",Very Good,4.2,1506
Cafe Tashkend,350,"Chinese,North Indian,Mughlai",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-tashkend-jogeshwari/info,70,Casual Dining,12noon to 1am(Mon-Sun),Good,3.7,119
Ks Bakery & Cafe,400,"Bakery,Cafe",Mumbai,Kandivali East,https://www.zomato.com/mumbai/ks-bakery-cafe-kandivali-east/info,705,Café,10am to 11pm(Mon-Sun),Good,3.6,28
August Cafe,1200,"Cafe,Continental,Italian,Pizza,Burger,Desserts",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/august-cafe-andheri-lokhandwala/info,76,Café,9am to 12midnight(Mon-Sun),Very Good,4.1,1527
Tea Villa Cafe,1000,"Cafe,Continental,Italian,Lebanese",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/tea-villa-cafe-vile-parle-east/info,8,Café,8am to 1230AM(Mon-Sun),Very Good,4.2,3404
McDonald's,500,"Burger,Fast Food",Mumbai,Sakinaka,https://www.zomato.com/mumbai/mcdonalds-sakinaka/info,8,Quick Bites,7am to 1am(Mon-Sun),Very Good,4.0,618
Coffee By Di Bella,650,"Cafe,Desserts",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/coffee-by-di-bella-versova/info,8,Café,9am to 1am(Mon-Sun),Very Good,4.1,3163
Cafe Trofima,800,"Cafe,Italian,Asian",Mumbai,Dadar Shivaji Park,https://www.zomato.com/mumbai/cafe-trofima-dadar-shivaji-park/info,81,Café,"11am to 12midnight(Mon-Fri),8am to 12midnight...",Very Good,4.1,1462
Tea Post,200,"Fast Food,Beverages",Mumbai,Mahim,https://www.zomato.com/mumbai/tea-post-mahim/info,853,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Cafe Arfa,700,"Chinese,North Indian,Mughlai,Fast Food",Mumbai,Near Andheri West Station,https://www.zomato.com/mumbai/cafe-arfa-near-andheri-west-station/info,87,Casual Dining,"1030am to 12midnight(Mon,Tue,Wed,Thu,Sat...",Good,3.9,1063
Birdsong - The Organic Cafe,1400,"Cafe,Healthy Food,Beverages,Salad",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/birdsong-the-organic-cafe-hill-road-bandra-west/info,88,Café,930am to 10pm(Mon-Sun),Very Good,4.0,1686
Creamy Cool,400,Desserts,Mumbai,Vasai,https://www.zomato.com/mumbai/creamy-cool-vasai/info,886,Dessert Parlor,10am to 12midnight(Mon-Sun),Not rated,-,-
The Homemade Cafe,1200,"Continental,Italian",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/the-homemade-cafe-oshiwara/info,90,Café,"12noon to 12midnight(Mon-Fri),10am to 12midnight...",Very Good,4.4,1306
Gaylord,2000,"Continental,North Indian,Desserts",Mumbai,Churchgate,https://www.zomato.com/mumbai/gaylord-churchgate/info,91,Casual Dining,"12noon to 330pm,730pm to 1130pm(Mon-Sun)",Good,3.9,1934
Cafe Biryani,500,"North Indian,Chinese",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/cafe-biryani-hill-road-bandra-west/info,935,Quick Bites,"1130am to 4pm,7pm to 12midnight(Mon-Sun)",Average,2.9,5
Earth Cafe @ Waterfield,800,"Cafe,Healthy Food,Italian,Pizza,Beverages",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/earth-cafe-@-waterfield-1-linking-road-bandra-west/info,95,Café,"10am to 10pm(Mon-Thu),10am to 11pm(Fri-Sun)",,NEW,NEW
Qutuz Irani Cafe,150,North Indian,Mumbai,Mira Road,https://www.zomato.com/mumbai/qutuz-irani-cafe-mira-road/info,97,Quick Bites,8am to 3am(Mon-Sun),Average,3.4,14
Cafe Delhi Heights,2000,"Continental,Italian,Seafood,North Indian,Cafe",Mumbai,Phoenix Marketcity-- Kurla,https://www.zomato.com/mumbai/cafe-delhi-heights-1-kurla/info,98,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.2,334
